0,Me😅😅😅😅😅😅😅
0,Let go 50 mil subs 🎉🎉🎉🎉🎉🎉❤❤❤❤❤❤❤❤❤❤❤❤
0,Oi Celine eu sou do Brasil vê  se você  intende
0,Itp mi lewo❤❤❤
0,Yamal or Messi?
1,Pls arda guler
0,Oops amazing 😊❤😮❤😊
0,los mejores goles goles de james rodriguez
0,je peux faire
0,Congratulations for 50 million
0,Osm video ❤
0,Neymar jr 🎉🎉
1,Messi
0,Make a messi goal from 2009 for argentina  transates to
0,Please xabi Hernández
0,한국어 더빙 진심 감사합니다
0,Yo Michael is you bf?😂
0,recreate neymar jr
3,PERFECT
0,it's beautiful celine
0,😮dwقی
0,Vote for meat with messi
0,Arda güler??
0,♥️❤️🫂👄😘💋💋💋💋💋💋💋💋❤️‍🔥❤️‍🔥
1,Pls do fede valverde
0,ME
0,Do Neymar
0,❤
0,Salah
6,"Congratulations 50 Million 🎉🎉🎉❤❤❤ 
Always love your videos❤❤
Never miss them 🎉🎉"
0,Uzbekistan 🇺🇿🇺🇿🇺🇿salom
0,NEYMAR
0,Arda güler🇹🇷❤️
0,I think doue
0,"In fact, Lamin Yamal is 20 years old"
0,your head to see wettdgdcf 345
0,Povera Celine😂
0,من ایرانی هستم من عاشق سلین و میشل هستم من همه ویدئو هارو نگاه میکنم سلین خیلی خفن هستید❤❤❤❤❤❤
0,Celine can recreate Neymar goals
0,I scored the first goal by acident while a 1v1 vs my best friend and im right footed
0,PLEASE MBAPPÉ
0,🤔Are you the best player?
0,Meet salah next
0,Thanks for 31 subscribers
1,Celine você è lida pacaranba❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤lindaaaaaaaaaaaa❤❤❤❤❤❤❤❤❤❤❤amo você❤❤❤❤❤❤ ❤❤❤eu sou um iscrito
0,You ❤❤❤
0,Your not yamas's girl
0,M-V-G MBAPPÉ VINI Y GONÇALVES GARÇIA
0,recreate neymar goal please
0,هلو يوميل
0,Celine
0,Like orange Bro hit the crossbar and went in 3:52
0,The bacra guy
0,ネイマールのして。
0,Hij is 18😂😂😂
0,Please neymar
0,I think Yamal is better than Arda
0,Maybe you can have mbappe
1,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤
0,drff
1,Please do neymar goals recreate 😢
0,Lamine jamal
0,😅😂🤣
0,vini or Rodrigo ❤ or raphina visca Barca e visca catalogue
0,‏‪17:02‬‏ messi
1,a Celine é uma gostosa
0,ламинь педаль
1,Celine canım ablam Arda Güler golünü denermisin.❤Seni seviyorum CELİNE ABLA ABONENİM YORUM ATIP PAYLAŞIYORUM BİR KALP ATARMISIN.❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅
0,NAYMAR ❤❤❤
0,"гол келин который должен был быть головой, был похож на гол роналду испании"
0,messi is the best
0,Messi
0,они не знают что значат спущенные шорты…
0,El gol mas dificil de lamine yamal es el barça vs inter en la ida de semis de champions es un golaso
1,Arda Güler❤❤
0,I SCORED the best goal⚽
